CustomerID,Country,State,City,Zip Code,Lat Long,Latitude,Longitude
2840-XANRC,United States,California,Del Mar,92014.0,"32.948262, -117.256086",32.948262,-117.256086
5020-ZSTTY,United States,California,El Cajon,92020.0,"32.79697, -116.969082",32.79697,-116.969082
5804-LEPIM,United States,California,Escondido,92029.0,"33.079834, -117.134275",33.079834,
0122-OAHPZ,United States,California,Oceanside,92057.0,"33.254497, -117.285879",33.254497,
2868-SNELZ,United States,California,Pala,92059.0,"33.384345, -117.072619",,-117.072619
4322-RCYMT,United States,California,Palomar Mountain,92060.0,"33.309852, -116.823091",33.309852,-116.823091
6680-NENYN,United States,California,Pauma Valley,92061.0,"33.313828, -116.940501",33.313828,-116.940501
1343-EHPYB,,California,Ranchita,92066.0,,33.215251,-116.53633
2034-GDRCN,United States,California,Valley Center,,"33.25283, -116.986079",33.25283,-116.986079
0219-YTZUE,United States,,San Diego,92103.0,"32.747484, -117.166877",32.747484,-117.166877
0623-IIHUG,United States,California,San Diego,92104.0,"32.741499, -117.127409",32.741499,-117.127409
4572-DVCGN,United States,California,San Diego,92105.0,"32.741859, -117.090353",32.741859,
,United States,California,San Diego,92108.0,"32.774046, -117.142454",32.774046,-117.142454
1010-DIAUQ,United States,California,San Diego,92116.0,"32.765299, -117.122565",32.765299,-117.122565
0259-GBZSH,United States,California,San Diego,92122.0,"32.85723, -117.209774",32.85723,-117.209774
9601-BRXPO,United States,,,92129.0,"32.961064, -117.134917",32.961064,-117.134917
6905-NIQIN,United States,California,San Diego,92154.0,"32.578103, -117.012975",32.578103,-117.012975
5167-ZFFMM,United States,California,Indio,92201.0,"33.713891, -116.237257",33.713891,-116.237257
4895-TMWIR,United States,California,Indian Wells,92210.0,,33.537646,-116.291089
0533-BNWKF,United States,California,Palm Desert,,"33.762759, -116.324817",33.762759,-116.324817
6599-CEBNN,United States,California,Desert Hot Springs,92240.0,"33.948558, -116.516976",33.948558,
0979-PHULV,United States,,Holtville,92250.0,"32.811001, -115.152865",32.811001,
4800-VHZKI,United States,California,Niland,92257.0,"33.345825, -115.596574",33.345825,-115.596574
7989-CHGTL,United States,California,North Palm Springs,,"33.906496, -116.569499",33.906496,-116.569499
0334-GDDSO,United States,California,Ocotillo,92259.0,,32.698964,-115.886656
0578-SKVMF,United States,California,Seeley,92273.0,"32.790282, -115.689559",32.790282,-115.689559
5564-NEMQO,United States,California,Thermal,,"33.53604, -116.119222",33.53604,-116.119222
9063-ZGTUY,United States,California,Adelanto,92301.0,"34.667815, -117.536183",,-117.536183
2957-LOLHO,United States,California,,92307.0,"34.55082, -117.122396",34.55082,-117.122396
7752-XUSCI,United States,California,Crestline,92325.0,"34.248061, -117.29028",34.248061,-117.29028
4110-PFEUZ,United States,California,Daggett,92327.0,,34.875144,-116.821698
0256-LTHVJ,United States,California,Ludlow,92338.0,,34.702766,-116.093376
0880-TKATG,United States,California,Lucerne Valley,92356.0,"34.508417, -116.856103",34.508417,
3811-VBYBZ,United States,California,Lytle Creek,,"34.238162, -117.534306",34.238162,-117.534306
,United States,California,Phelan,92371.0,"34.441123, -117.537886",34.441123,-117.537886
3583-EKAPL,,California,Redlands,92373.0,,34.003243,
9399-APLBT,United States,California,,92377.0,"34.156758, -117.404686",34.156758,
2359-KMGLI,United States,California,,92382.0,"34.186211, -117.07683",34.186211,
0306-JAELE,United States,California,Tecopa,,,,-116.274755
6227-HWPWX,United States,California,Victorville,92392.0,"34.486835, -117.362274",,
,United States,California,Wrightwood,92397.0,"34.358321, -117.618263",34.358321,-117.618263
5949-XIKAE,United States,California,San Bernardino,92401.0,"34.105935, -117.2914",34.105935,-117.2914
8372-JUXUI,United States,California,San Bernardino,92410.0,"34.106922, -117.297553",34.106922,-117.297553
0388-EOPEX,United States,California,Riverside,92503.0,"33.890046, -117.455583",33.890046,-117.455583
8205-OTCHB,United States,California,Riverside,92506.0,,33.930931,-117.361788
6235-VDHOM,United States,California,Riverside,92509.0,"34.004379, -117.447864",34.004379,-117.447864
7783-YKGDV,United States,California,March Air Reserve Base,92518.0,"33.888323, -117.277533",33.888323,-117.277533
5609-CEBID,United States,,Hemet,92544.0,,33.644585,-116.871544
,United States,California,Homeland,92548.0,"33.761894, -117.120868",,-117.120868
4636-QRJKY,United States,California,Idyllwild,92549.0,"33.755039, -116.741796",33.755039,
5956-VKDTT,United States,California,Moreno Valley,92557.0,"33.970661, -117.255039",33.970661,-117.255039
9412-GHEEC,United States,California,Murrieta,92563.0,"33.581045, -117.14719",,
0257-ZESQC,United States,California,Perris,92571.0,,33.828289,-117.201666
6825-UYPFK,,,Sun City,92586.0,"33.707483, -117.200006",33.707483,
,United States,California,Sun City,92587.0,,33.69887,
9282-IZGQK,United States,California,Irvine,92612.0,"33.643095, -117.810896",33.643095,-117.810896
1342-JPNKI,United States,California,Lake Forest,,"33.644849, -117.684254",33.644849,
2817-NTQDO,United States,,Huntington Beach,92646.0,"33.666301, -117.969501",33.666301,-117.969501
6986-IJDHX,United States,California,Huntington Beach,92648.0,"33.679659, -118.016195",33.679659,
5301-GAUUY,United States,California,Newport Beach,92661.0,"33.601309, -117.902304",33.601309,
,United States,California,Santa Ana,92701.0,"33.748478, -117.858918",33.748478,-117.858918
4710-FDUIZ,United States,California,Santa Ana,92707.0,"33.714829, -117.872941",33.714829,-117.872941
1218-VKFPE,United States,California,Anaheim,92805.0,,,-117.906099
3627-FHKBK,United States,California,Anaheim,92806.0,"33.83796, -117.870494",,-117.870494
2865-TCHJW,United States,California,Anaheim,92807.0,"33.848733, -117.788357",33.848733,-117.788357
5192-EBGOV,United States,California,Brea,92823.0,"33.924143, -117.79387",33.924143,-117.79387
0719-SYFRB,United States,California,Norco,92860.0,"33.925833, -117.559639",33.925833,-117.559639
3419-SNJJD,,California,Yorba Linda,92887.0,"33.884073, -117.732197",33.884073,-117.732197
6543-CPZMK,,California,Ventura,93001.0,"34.360261, -119.306383",34.360261,-119.306383
4765-OXPPD,United States,California,Ventura,93003.0,"34.279221, -119.221437",34.279221,-119.221437
,United States,California,Port Hueneme,93041.0,"34.110124, -119.100972",,-119.100972
4554-YGZIH,United States,California,Summerland,93067.0,,,
5099-BAILX,United States,California,Santa Barbara,93101.0,"34.419203, -119.710008",34.419203,-119.710008
7207-RMRDB,United States,California,Santa Barbara,93110.0,"34.437945, -119.77191",34.437945,-119.77191
4913-EHYUI,United States,California,Alpaugh,93201.0,"35.869626, -119.498771",35.869626,-119.498771
0195-IESCP,United States,California,Armona,93202.0,"36.315979, -119.710852",36.315979,-119.710852
4580-TMHJU,United States,California,Avenal,93204.0,"35.916943, -120.129921",35.916943,-120.129921
0970-ETWGE,United States,California,Bodfish,93205.0,"35.523991, -118.400432",35.523991,-118.400432
1626-ERCMM,,California,Camp Nelson,93208.0,"36.057458, -118.591951",36.057458,-118.591951
0887-HJGAR,United States,California,Coalinga,93210.0,,36.186867,-120.387793
5644-PDMZC,United States,California,Delano,93215.0,"35.772244, -119.209689",35.772244,-119.209689
9576-ANLXO,United States,California,Earlimart,93219.0,"35.858054, -119.305858",35.858054,-119.305858
2024-BASKD,United States,California,Exeter,93221.0,,,-119.018233
4160-AMJTL,United States,California,Fellows,93224.0,"35.215731, -119.57013",35.215731,-119.57013
4464-JCOLN,United States,California,,93234.0,,36.217864,-120.080117
5650-VDUDS,United States,,Kernville,93238.0,"35.852892, -118.397782",35.852892,-118.397782
7538-GWHML,United States,California,Lemon Cove,93244.0,,36.462671,-118.997291
3859-CVCET,United States,California,Lindsay,93247.0,"36.205465, -119.085807",36.205465,-119.085807
3276-HDUEG,United States,California,Maricopa,,,34.737031,-119.460557
0823-HSCDJ,United States,California,Onyx,93255.0,,35.676978,-118.101378
0822-GAVAP,United States,California,Posey,,,35.861928,-118.636698
1448-PWKYE,United States,California,Shafter,,"35.490705, -119.286833",35.490705,-119.286833
0067-DKWBL,United States,California,Tipton,93272.0,"36.047414, -119.344304",36.047414,-119.344304
2276-YDAVZ,United States,California,Wofford Heights,93285.0,"35.690535, -118.552784",35.690535,-118.552784
5896-NPFWW,United States,California,Visalia,93292.0,"36.37559, -119.211689",36.37559,-119.211689
7133-VBDCG,United States,California,,93311.0,"35.16207, -119.194488",,-119.194488
,United States,California,San Luis Obispo,,"35.236549, -120.727344",35.236549,-120.727344
4952-YSOGZ,United States,California,Lompoc,93436.0,"34.601055, -120.382917",,-120.382917
1589-AGTLK,United States,California,,,"34.757477, -120.550507",34.757477,-120.550507
5244-IRFIH,United States,California,Los Alamos,93440.0,"34.758699, -120.275839",,-120.275839
2684-EIWEO,,California,Oceano,,"35.059695, -120.604741",35.059695,-120.604741
,,California,Pismo Beach,93449.0,,,
5138-WVKYJ,United States,California,Mojave,93501.0,"35.097323, -118.171288",35.097323,
6683-VLCTZ,United States,California,Johannesburg,93528.0,"35.363339, -117.637641",35.363339,-117.637641
2189-WWOEW,United States,California,,93531.0,"35.214982, -118.59049",35.214982,-118.59049
1894-IGFSG,United States,California,Lancaster,93535.0,"34.712708, -117.889656",34.712708,-117.889656
7379-POKDZ,United States,California,Lancaster,93536.0,,34.741406,-118.38111
0236-HFWSV,,California,Palmdale,93552.0,"34.557711, -118.029441",,-118.029441
3900-AQPHZ,United States,California,Pearblossom,93553.0,"34.445239, -117.894868",34.445239,-117.894868
5842-POCOP,United States,California,Randsburg,93554.0,"35.405722, -117.773354",35.405722,-117.773354
2037-XJFUP,United States,California,Ridgecrest,93555.0,,35.603913,-117.67828
7314-OXENN,United States,California,Trona,93562.0,,35.74837,-117.384948
0322-CHQRU,United States,California,Palmdale,93591.0,,34.598221,-117.79593
4678-DVQEO,United States,California,Bass Lake,93604.0,"37.458367, -119.345011",37.458367,-119.345011
0691-IFBQW,United States,California,Biola,93606.0,"36.798882, -120.019511",36.798882,-120.019511
3009-JWMPU,United States,California,,93624.0,"36.397745, -120.119911",36.397745,-120.119911
1450-GALXR,United States,California,Friant,93626.0,"37.027663, -119.69056",37.027663,-119.69056
3138-BKYAV,United States,California,Kerman,93630.0,,36.727418,-120.123526
4289-DTDKW,United States,California,Madera,,"36.902954, -120.194274",36.902954,-120.194274
1820-TQVEV,United States,California,Madera,93638.0,"37.004068, -119.930027",,-119.930027
2239-JALAW,United States,California,Mendota,93640.0,"36.687292, -120.437354",36.687292,-120.437354
4853-RULSV,United States,California,Miramonte,93641.0,"36.696759, -119.024051",36.696759,-119.024051
,United States,California,Orosi,93647.0,"36.600185, -119.175655",36.600185,
0115-TFERT,United States,,Fresno,93650.0,"36.841655, -119.797113",36.841655,-119.797113
2311-QYMUQ,United States,California,San Joaquin,93660.0,"36.600193, -120.153393",36.600193,
3643-AHCFP,United States,California,Selma,93662.0,"36.545322, -119.642281",36.545322,-119.642281
3104-OWCGK,United States,California,South Dos Palos,93665.0,,36.959731,-120.653519
,United States,,Tollhouse,93667.0,"36.993666, -119.348267",36.993666,-119.348267
9231-ZJYAM,United States,California,Squaw Valley,,,,-119.202677
6982-SSHFK,United States,California,Fresno,93703.0,,36.768774,-119.762633
0727-BMPLR,United States,California,Fresno,93706.0,"36.654614, -119.903674",36.654614,-119.903674
1038-ZAGBI,United States,California,Fresno,93711.0,"36.833002, -119.82947",36.833002,-119.82947
3027-ZTDHO,United States,California,Fresno,93721.0,"36.732694, -119.783786",36.732694,-119.783786
2382-BCKQJ,United States,California,Big Sur,,"36.092975, -121.549826",36.092975,
2207-NHRJK,United States,,Carmel,,"36.460611, -121.852507",36.460611,-121.852507
0947-MUGVO,United States,California,Jolon,93928.0,,,-121.189757
9944-HKVVB,United States,California,King City,93930.0,"36.220761, -120.980777",,-120.980777
4124-MMETB,United States,California,Lockwood,93932.0,"35.989792, -121.055933",35.989792,-121.055933
3671-SHRSP,United States,California,Marina,93933.0,"36.689582, -121.758398",36.689582,-121.758398
3313-QKNKB,,California,Pebble Beach,,"36.587497, -121.944815",36.587497,-121.944815
5073-WXOYN,United States,California,Belmont,94002.0,"37.509366, -122.306132",37.509366,-122.306132
0207-MDKNV,United States,California,Daly City,94014.0,,37.691561,-122.445202
9851-KIELU,United States,California,Loma Mar,94021.0,"37.266388, -122.26308",37.266388,-122.26308
3908-BLSYF,United States,California,Los Altos,,"37.352911, -122.093002",,-122.093002
7549-MYGPK,United States,California,Mountain View,94040.0,"37.380662, -122.086022",37.380662,
3804-RVTGV,United States,California,Mountain View,94043.0,"37.419725, -122.062947",37.419725,-122.062947
9227-LUNBG,United States,California,Pescadero,94060.0,"37.22565, -122.297533",37.22565,-122.297533
4315-MURBD,United States,California,San Bruno,94066.0,"37.624436, -122.430661",,-122.430661
9734-YWGEX,United States,California,South San Francisco,94080.0,"37.654436, -122.426468",37.654436,-122.426468
2719-BDAQO,United States,California,Sunnyvale,94086.0,"37.378541, -122.020456",37.378541,
,United States,California,San Francisco,94102.0,"37.7795, -122.419233",37.7795,-122.419233
,United States,California,San Francisco,94108.0,"37.791998, -122.408653",37.791998,-122.408653
6513-EECDB,United States,California,San Francisco,94114.0,"37.758085, -122.434801",37.758085,-122.434801
7074-IEVOJ,United States,California,San Francisco,94130.0,"37.820894, -122.369725",37.820894,
9625-QSTYE,United States,California,San Francisco,94131.0,"37.746699, -122.442833",37.746699,-122.442833
4750-ZRXIU,United States,California,Palo Alto,94304.0,"37.386978, -122.177746",37.386978,-122.177746
6400-BWQKW,United States,California,San Mateo,94402.0,"37.556634, -122.317723",37.556634,
,United States,California,,94509.0,"37.980057, -121.801599",37.980057,-121.801599
7028-DVOIQ,United States,California,Birds Landing,94512.0,"38.140719, -121.838298",38.140719,
4208-UFFGW,,California,,94514.0,"37.83323, -121.601461",37.83323,-121.601461
,United States,California,,,"38.013825, -122.039144",38.013825,-122.039144
9117-SHLZX,United States,,Fremont,94538.0,"37.505768, -121.962472",37.505768,-121.962472
9889-TMAHG,,California,,94539.0,,,-121.899117
4541-RMRLG,United States,California,Hayward,,"37.674002, -122.076796",37.674002,-122.076796
3158-MOERK,United States,,Hayward,94545.0,"37.62984, -122.120843",37.62984,-122.120843
,United States,California,Castro Valley,94546.0,"37.708327, -122.083473",37.708327,-122.083473
8919-FYFQZ,United States,California,Livermore,94550.0,"37.571748, -121.659562",37.571748,-121.659562
,United States,California,,94553.0,"38.014457, -122.115432",38.014457,-122.115432
5875-YPQFJ,United States,California,Fremont,94555.0,,37.555473,-122.080312
6646-QVXLR,,California,,94558.0,"38.489789, -122.27011",38.489789,-122.27011
8603-IJWDN,,California,Pinole,94564.0,,37.996462,-122.293716
9369-XFEHK,United States,California,Pleasanton,94566.0,,,-121.862395
3842-IYKUE,United States,California,San Leandro,94579.0,"37.687264, -122.15728",37.687264,
6641-XRPSU,United States,,San Lorenzo,94580.0,,37.676249,
1374-DMZUI,United States,California,San Ramon,94583.0,"37.766556, -121.976784",37.766556,-121.976784
8357-EQXFO,United States,California,Union City,94587.0,"37.59485, -122.051521",37.59485,-122.051521
,United States,California,Pleasanton,94588.0,"37.685052, -121.912061",37.685052,-121.912061
9524-EGPJC,,California,Walnut Creek,94595.0,"37.862128, -122.075197",37.862128,-122.075197
6993-OHLXR,United States,California,Walnut Creek,94596.0,"37.900662, -122.052782",37.900662,-122.052782
8818-XYFCQ,United States,,Walnut Creek,94598.0,"37.916648, -122.008483",37.916648,-122.008483
4695-VADHF,United States,California,Oakland,,,37.792489,-122.244314
3863-IUBJR,United States,California,Oakland,94607.0,"37.80707, -122.297401",,-122.297401
4822-RVYBB,United States,California,Berkeley,94704.0,"37.871416, -122.246597",37.871416,-122.246597
8436-BJUMM,United States,California,Albany,,"37.890274, -122.295192",,-122.295192
4184-TJFAN,United States,California,Berkeley,94707.0,"37.897753, -122.279391",37.897753,-122.279391
4145-UQXUQ,United States,California,Berkeley,94710.0,"37.872902, -122.303708",37.872902,-122.303708
9948-YPTDG,United States,California,San Rafael,94903.0,"38.018065, -122.546024",38.018065,-122.546024
1236-WFCDV,United States,California,Greenbrae,94904.0,"37.946617, -122.563571",37.946617,-122.563571
4883-QICIH,United States,California,Bodega Bay,94923.0,"38.377165, -123.037957",38.377165,
8329-IBCTI,United States,California,Cotati,94931.0,"38.326215, -122.718742",38.326215,
,United States,California,Forest Knolls,94933.0,"38.010092, -122.689442",38.010092,-122.689442
5669-SRAIP,United States,,Larkspur,94939.0,"37.937082, -122.532369",37.937082,-122.532369
5981-ITEMU,United States,California,Marshall,94940.0,"38.129308, -122.834815",38.129308,-122.834815
6941-PMGEP,United States,California,Novato,94945.0,"38.135897, -122.563683",38.135897,-122.563683
,United States,California,Nicasio,94946.0,"38.065359, -122.665566",38.065359,-122.665566
2074-GKOWZ,,California,Novato,94947.0,,38.112166,-122.634384
0376-YMCJC,United States,California,Novato,94949.0,"38.067204, -122.524004",38.067204,-122.524004
,United States,California,San Anselmo,94960.0,"37.99272, -122.575026",,-122.575026
5536-RTPWK,United States,California,Sausalito,94965.0,"37.848641, -122.515692",37.848641,-122.515692
6166-ILMNY,United States,California,Tomales,94971.0,"38.240769, -122.901041",38.240769,-122.901041
3097-NNSPB,United States,California,Valley Ford,94972.0,"38.339996, -122.935056",38.339996,-122.935056
0655-RBDUG,United States,California,Alviso,95002.0,"37.449537, -121.994813",37.449537,
4361-BKAXE,United States,California,Boulder Creek,95006.0,"37.171727, -122.142961",,-122.142961
9878-TNQGW,United States,California,Davenport,95017.0,"37.114335, -122.237162",37.114335,
4441-NIHPT,United States,California,,95019.0,"36.936228, -121.785559",36.936228,-121.785559
8999-BOHSE,United States,California,Gilroy,95020.0,,,-121.528955
7029-RPUAV,United States,California,Los Gatos,95030.0,"37.222842, -121.988727",37.222842,-121.988727
4607-CHPCA,United States,California,,95046.0,"37.084697, -121.606417",37.084697,-121.606417
,United States,California,Santa Cruz,95062.0,"36.974575, -121.991149",36.974575,-121.991149
9763-PDTKK,United States,California,San Jose,95112.0,"37.343827, -121.883119",37.343827,-121.883119
,United States,California,San Jose,95116.0,"37.350284, -121.852855",37.350284,
4081-DYXAV,United States,California,San Jose,,"37.294926, -121.894763",37.294926,-121.894763
8111-SLLHI,United States,California,San Jose,95128.0,"37.316146, -121.936285",37.316146,-121.936285
0927-LCSMG,United States,,San Jose,95129.0,"37.305622, -122.000887",37.305622,-122.000887
8257-RZAHR,United States,California,San Jose,95134.0,"37.42765, -121.945416",37.42765,
5293-WXJAK,,California,San Jose,95135.0,"37.28682, -121.723877",37.28682,-121.723877
0841-NULXI,United States,California,Stockton,95209.0,"38.044523, -121.348048",38.044523,-121.348048
7851-WZEKY,United States,California,Stockton,95219.0,"38.029729, -121.387999",,-121.387999
,United States,California,Acampo,95220.0,,38.200231,-121.235034
4086-YQSNZ,United States,California,Glencoe,95232.0,"38.358464, -120.579304",38.358464,-120.579304
5868-CZJDR,United States,California,Linden,95236.0,"38.047746, -121.030499",38.047746,-121.030499
0135-NMXAP,United States,California,Lodi,95240.0,,38.123544,-121.159078
6270-OMFIW,,,Valley Springs,95252.0,"38.156971, -120.849231",,-120.849231
0107-WESLM,United States,California,,95255.0,"38.41935, -120.469545",38.41935,-120.469545
3992-YWPKO,United States,,Atwater,95301.0,"37.321233, -120.656354",37.321233,-120.656354
,United States,California,Big Oak Flat,95305.0,"37.818589, -120.256995",37.818589,-120.256995
8399-YNDCH,United States,California,Columbia,95310.0,"38.085839, -120.37855",38.085839,-120.37855
5673-FSSMF,United States,California,Delhi,95315.0,"37.422961, -120.765493",37.422961,-120.765493
1579-KLYDT,,California,Hickman,95323.0,,37.605926,-120.69955
3927-NLNRY,United States,,Long Barn,95335.0,"38.109125, -120.078597",,-120.078597
6358-LYNGM,United States,California,Mariposa,95338.0,"37.526791, -119.99437",37.526791,-119.99437
5494-HECPR,United States,California,Mi Wuk Village,,"38.121601, -120.133915",38.121601,-120.133915
9824-BEMCV,United States,California,Modesto,95350.0,"37.671806, -121.007575",37.671806,-121.007575
1373-ORVIZ,United States,California,Modesto,95351.0,"37.621458, -121.012295",37.621458,-121.012295
9866-QEVEE,United States,California,Modesto,95356.0,"37.716186, -121.025836",37.716186,-121.025836
9897-KXHCM,United States,California,Modesto,95357.0,"37.670526, -120.877572",37.670526,
7979-CORPM,,California,Oakdale,95361.0,"37.785033, -120.776141",37.785033,-120.776141
1618-CFHME,United States,California,Riverbank,95367.0,"37.734971, -120.954271",37.734971,-120.954271
3165-HDOEW,,California,Salida,95368.0,"37.713152, -121.08739",,-121.08739
6581-NQCBA,United States,California,Snelling,95369.0,"37.521708, -120.426843",37.521708,-120.426843
,United States,California,Turlock,95382.0,"37.529656, -120.854357",37.529656,
5835-BEQEU,United States,California,,95387.0,,37.546007,-121.28257
5565-FILXA,United States,California,Yosemite National Park,95389.0,"37.704267, -119.607001",37.704267,-119.607001
