,Tweet,Sentiment
43,"""Great to see the work of #opengov reformers inside &amp; outside govt - exciting commitments in @OpenGovIndo 2022-24 Action Plan! @maharaniwibowo @yanuarnugroho @PWYP_Indonesia @TIIndonesia @BappenasRI @Kemlu_RI @KSPgoid @antikorupsi @LKPP_RI @PWYP_Indonesia @KPU_ID #Indonesia""",Positif
44,"""Kepala LKPP RI, Hendrar Prihadi fokus mendorong transformasi digital pada lembaga yang dipimpinnya",Positif
45,"""@hendrarprihadi @LKPP_RI @erickthohir Walikotaku wes mundak pangkate😀Selamat nggeh pak""",Positif
46,"""Alhamdulillah.",Positif
47,"""@LKPP_RI Maaf pak @LKPP_RI , mohon sirupnya diperbaiki..Pengadaan di daerah macet kalau kayak gini terus..@KPK_RI""",Negatif
48,"""@kenjaya2016 @BlangkonJateng @ganjarpranowo @LKPP_RI Terkait produk sesuai PMK 58 th 2022 bhw objek PPN adlh produk BKP &amp; pemungut PPN adlh marketplace sehingga penyedia Non PKP apabila berjualan pd marketplace akan tetap dipungut PPN bila menggunakan PMK 58,Produk tdk lolos verif disebabkan produk merupakan BKP shg dikenakan PPN""",Netral
49,"""@kenjaya2016 @BlangkonJateng @ganjarpranowo @LKPP_RI Utk produk yg dpt ditransaksikan di mitra toko daring saat ini sdh ada 14 kategori sesuai dengan kep deputi monev lkpp no 129 th 2022 kak..""",Positif
50,"""Gabung sekarang dengan mengunjungi tautan berikut ini: https://t.co/TtiH6oRaL1Kami tunggu partisipasinya! #LKPP#PeningkatanKapasitas#PelakuUsaha https://t.co/mNSox8t3ZI""",Netral 
51,"""Haloo Sobat Kredibel.",Positif 
52,"""@biroapbj_jtg @BlangkonJateng @ganjarpranowo @LKPP_RI (2) 𝚂𝚢 𝚙𝚎𝚛𝚗𝚊𝚑 𝚞𝚙𝚕𝚘𝚊𝚍 𝚙𝚛𝚘𝚍𝚞𝚔 𝚍𝚒 𝙶𝚁𝙰𝚃𝙸𝚂 𝙾𝙽𝙶𝙺𝙸𝚁",Netral 
53,"""@biroapbj_jtg @BlangkonJateng @ganjarpranowo @LKPP_RI 𝚜𝚊𝚢𝚊 𝚙𝚎𝚛𝚕𝚞 𝚍𝚒𝚋𝚊𝚗𝚝𝚞 𝚓𝚊𝚠𝚊𝚋, 𝚙𝚎𝚛𝚝𝚊𝚗𝚢𝚊𝚊𝚗 𝚜𝚊𝚢𝚊:(1) 𝙱𝚊𝚛𝚊𝚗𝚐 𝚊𝚙𝚊 𝚊𝚓𝚊 𝚢𝚐 𝚋𝚒𝚜𝚊 𝚍𝚒𝚓𝚞𝚊𝚕 𝚍𝚒 𝙶𝚁𝙰𝚃𝙸𝚂 𝙾𝙽𝙶𝙺𝙸𝚁?""",Netral 
54,"""Kader PDI Perjuangan, Hendrar Prihadi terus menggelorakan semangat membangun ekonomi kerakyatan dalam perannya sebagai Kepala LKPP RI",Positif 
55,"""Untuk itu, dirinya bersama LKPP RI kemudian menggandeng PT",Positif 
56,"""Menurutnya, agar transformasi sistem digital LKPP RI dapat diupayakan lebih cepat diperlukan keterlibatan pihak yang telah berpengalaman dalam urusan pengembangan tekhnologi.""",Netral 
57,"""Untuk itu dirinya meminta agar sistem yang dijalankan oleh LKPP RI saat ini bisa bertranformasi untuk bisa lebih cepat, tepat, dan mudah digunakan.Namun di sisi lain, Hendi pun tak memungkiri bahwa LKPP RI tidak dapat sendirian dalam membangun sistem seperti yang diinginkannya.""",Netral 
58,"""Pasalnya, pria yang akrab disapa Hendi itu merasa bahwa sistem yang dimiliki oleh LKPP RI saat ini masih membingungkan, terlebih bagi pihak - pihak yang tidak akrab dengan tekhnologi.""",Negatif 
59,"""Hendi Gandeng Telkom Gagas Platform Baru Pengadaan Barang/JasaKepala LKPP RI, Hendrar Prihadi mengungkapkan bahwa lembaga yang dipimpinnya membutuhkan pengembangan sistem untuk dapat mendorong pemaksimalan e-purchasing dalam proses pengadaan barang/jasa pemerintah",Wrong
60,"""Kepala LKPP RI, Hendrar Prihadi alias Hendi, menjelaskan pihaknya berkolaborasi dengan PT Telkom untuk membuat platform digital pengadaan barang/jasa yang baru",Netral
61,"""Kepala LKPP RI Hendrar Prihadi mengatakan pihaknya membutuhkan pengembangan sistem untuk dapat mendorong pemaksimalan e-purchasing dalam proses pengadaan barang/jasa pemerintah.https://t.co/nXp3icixeZ""",Netral
62,"""LKPP RI Gandeng PT Telkom Indonesia Ciptakan Platform Digital Baru - https://t.co/bdxEsJUpaL #AwalMediaNusantara #Berita""",Netral
63,"""Kepala LKPP RI mendoakan agar Ibu Ketua Umum senantiasa diberikan kekuatan dan kesehatan agar dapat terus membimbing para kader untuk mengobarkan api perjuangan dalam peran masing-masing#PDIPerjuangan#50tahunPDIP#bangunlahjiwadanbadannya#SolidBergerak""",Positif
64,"""Selamat Tahun Baru Imlek 2023 bagi Sobat Kredibel yang merayakan..Semoga setiap langkah kita di tahun Kelinci Air ini penuh berkah dan keberuntungan, serta Tuhan YME senantiasa menerangi jalan dan membimbing kita selalu",Positif
65,"""Atau Sobat punya menu sarapan lain? Share di komen yaaaa...Kalau mimin sih sarapannya paket lengkap, harus ada nasi, lauk, sayur, ditambah semangat dan senyuman agar kuat menghadapi hari.Jangan lupa sarapan, karena tersenyum juga butuh tenaga bukan? 😄#LKPP""",Positif
66,"""1",Positif
67,"""Halo Sobat Kredibel, yang mana nih standard menu sarapanmu? https://t.co/AJ4yhsSSnV""",Netral
68,"""@LKPP_RI selamat malam, bisakah tolong bantu? Terima kasih, https://t.co/DVGCjTcXds""",Netral
69,"""@LKPP_RI Udh ikut pelatihan dri thn 2019 smpe skrng ga kepake ilmunya min,kudu piye???""",Negatif
70,"""@LKPP_RI min input SIRUP lemot terus",Negatif 
71,"""Nantikan informasi selanjutnya tentang pelatihan yang diselenggarakan oleh LPPBJ ya",Netral 
72,"""Haloo Sobat Kredibel.",Netral 
73,"""@LKPP_RI website sakti ketika pendaftaran masukin alamat gabisa masukin provinsi dll nya ga muncul pilihannya""",Negatif 
74,"""@Adityalvin @Dedman011 @juarazr @kozirama @prastow Cc @bpkri @LKPP_RI @Itjen_Kemdikbud @ItjenKemenkeu tolong temuan netizen ini minimal dibahas dirapat2, program2 lain dikesampingkan dulu, kl apps ny udh beres dr mafia2 mark up gini, baru jln program lbih efektif, anggaran jg hampir dobel kan tuh kl bs diselametin angka fiktif ny""",Netral 
75,"""👀 @bpkri @LKPP_RI""",Netral 
76,"""#sobatpengadaan Hari ini ditandatangani Surat Perjanjian Teknis antara Plt Ka",Netral 
77,"""@LKPP_RI @setkabgoid hallo masih pagi sdh lemot loding melulu",Negatif 
78,"""@LKPP_RI jam segini sdh lemot terputus putus https://t.co/O2MO3alFVc""",Negatif 
79,"""@LKPP_RI knp situs lpse itu lemot? input RUP aja lemot bukan main",Wrong
80,"""@LKPP_RI Hallo kak, saya sedang proses pembelian barang melalui ecatalogue/epurchasing, sudah saya masukkan k keranjang tetapi di keranjang tersebut tidak ada fitur buat paket",Netral
81,"""Lowongan Kerja LKPP RI, Lulusan S1 Ayo Merapat, Cek Sekarang! https://t.co/WPnPPIeLQk""",Netral
82,"""@BlockchainIndo @chainalysis @ItsAsih @dannybaskara @PPATK @ArsipNasionalRI @BPPT_RI @PerekonomianRI @LKPP_RI @BappenasRI @gilang_bh Boleh bagi presentasinya untuk belajar? :) terima kasihhh""",Netral
83,"""@LKPP_RI apa benar lkpp lgi buka loker ??https://t.co/1pAQ2IBy9n""",Netral
84,"""Kenapa e-katalog lemot sekali @LKPP_RI""",Negatif
85,"""@LKPP_RI min mau tanya lowongan pengadaan jasa lainnya penyusun bahan pelaporan sudah ditutup ya?kok linknya dibuka udah gak bisa?padahal dateline 13 jan 23, mohon infonya""",Netral
86,"""KemenkopUKM: Alokasi 40% belanja Pemerintah untuk menyerap produk Koperasi dan UMKM serta kemudahan dalam onboarding pengadaan e-Katalog @LKPP_RI merupakan upaya strategis Pemerintah dalam memihak Koperasi dan UMKM tanah air.#KemenKopUKM#UMKMBangkit#… https://t.co/vfhdaXbGvx""",Positif
87,"""Alokasi 40% belanja Pemerintah untuk menyerap produk Koperasi dan UMKM serta kemudahan dalam onboarding pengadaan e-Katalog @LKPP_RI merupakan upaya strategis Pemerintah dalam memihak Koperasi dan UMKM tanah air.#KemenKopUKM#UMKMBangkit#KoperasiKeren#IndonesiaMaju https://t.co/kWUkptHJDs""",Positif
88,"""@LKPP_RI MIXUE ...",Netral
89,"""@LKPP_RI E-katalog nya sering error min""",Negatif
90,"""@LKPP_RI MENABUNG @ochank83 @aden_aden @janwar_iyan""",Netral
91,"""@LKPP_RI NAIKGAJI""",Positif
92,"""@LKPP_RI Sehat""",Positif
93,"""@LKPP_RI Nabung@Gerindra @DPP_PKB @PDI_Perjuangan Sory2 mimin 🙂""",Netral
94,"""@LKPP_RI Terkenal""",Positif
95,"""@LKPP_RI Sehat@zarazettirazr @fahiraidris @Nurmantyo_Gatot #LKPP#TemukanKata#KuisBaja""",Positif
96,"""@LKPP_RI Kaya @NuriaWidowati @abdurahman @Elinda2023""",Positif
97,"""@LKPP_RI Menabung""",Positif
98,"""Jangan lupa ajak dan mention 3 temanmu untuk ikut temukan kata di atas dan dapatkan suvenir menarik dari LKPP bagi tiga orang Sobat Kredibel yang beruntung!#LKPP#TemukanKata#KuisBaja""",Netral
99,"""Apapun resolusinya, semoga tahun ini menjadi tahun yang penuh berkah untuk kita semua ya!#LKPP#TemukanKata#KuisBaja""",Positif
100,"""Semangat Senin Sobat Kredibel..Coba tuliskan di kolom komentar kata pertama yang kamu temukan pada gambar di atas!Apakah kata-kata tersebut merupakan resolusimu pada 2023?#LKPP#TemukanKata#KuisBaja https://t.co/UJBS6SaiHA""",Netral
101,"""KemenkopUKM: Alokasi 40% belanja Pemerintah untuk menyerap produk Koperasi dan UMKM serta kemudahan dalam onboarding pengadaan e-Katalog @LKPP_RI merupakan upaya strategis Pemerintah dalam memihak Koperasi dan UMKM tanah air.#KemenKopUKM … https://t.co/rqJcrhY86L""",Positif
102,"""@LKPP_RI mau menanyakan utk melihat data orang-orang yang telah memiliki sertifikasi pengadaan barang dan jasa dimana ya?""",Netral
103,"""udah tahun 2023 nih, upgrade dong servernya @LKPP_RI biar nggak ngasih solusi untuk akses di tengah malam-dini hari lagi ☺""",Negatif
104,"""@setkabgoid @pramonoanung @LKPP_RI Batiknya bagus Pak @hendrarprihadi""",Netral
105,"""Pertemuan tersebut dilakukan salah satunya guna membahas dan melaporkan realisasi penggunaan APBN/APBD untuk Produk dalam Negeri dan produk Usaha Mikro Kecil-Koperasi pada Kementerian/Lembaga/Pemerintah Daerah dalam PBJP yang tercatat di Sistem Pengadaan Secara Elektronik (SPSE).""",Netral
106,"""Jakarta - Sambangi Kantor Sekretariat Kabinet, Kepala Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP) Hendrar Prihadi temui Sekretaris Kabinet Pramono Anung pada Kamis (5/1).#LKPP #KawalPengadaan https://t.co/YZSeT0VdME""",Positif
107,"""#LKPP RI Gandeng #KPK Guna Kuatkan Sistem Pengadaan Secara Elektronik #kliKRMOLhttps://t.co/CAEjCEY6nT""",Positif
108,"""LKPP Gandeng KPK Untuk Kuatkan Sistem Pengadaan Secara ElektronikKepala LKPP RI, Hendrar Prihadi bertemu dengan seluruh komisioner KPK RI termasuk Ketua KPK RI, Firli Bahuri, Rabu (4/1)",Positif
109,"""Hallo Sobat Kredibel Selamat menyambut Hari Raya Semesta Galungan dan Kuningan Sobat Kredibel! Semoga Yang Maha Esa senantiasa memberikan kerahayuannya pada kita semua.#LKPP#GalunganKuningan https://t.co/tfSwkl9tDI""",Positif
110,"""@riefdamn @LKPP_RI Di spk segitu, aslinya 17 di ekatalog terus nego nambah ram harganya disesuaiin jd 18 tapi tetepan layarnya jelek gambarnya burek, backlit yg basic aja ga ada, harga segini mah dapet mac m1""",Negatif
111,"""@LKPP_RI Kalo polri gmn min?""",Netral
112,"""Ayo terus dukung PDN dan produk UMK-Koperasi untuk Indonesia yang lebih sejahtera!!#LKPP#dukungPDN#umkkoperasi""",Positif
113,"""Untuk itu, LKPP mengucapkan terima kasih atas dukungan tersebut",Positif
114,"""Dalam upayanya meningkatkan penggunaan produk dalam negeri (PDN) dan produk usaha mikro, kecil dan koperasi (UMK-Koperasi) dalam pengadaan barang/jasa pemerintah (PBJP), LKPP tidak berjalan sendiri",Positif
115,"""@Tita83079013 @LKPP_RI @DKIJakarta @BinaMargaDKI @KPK_RI @KejaksaanRI GENDHENG....WARISAN TANAH JAKARTA???.""",Negatif
116,"""@Tita83079013 @LKPP_RI @DKIJakarta @BinaMargaDKI @KPK_RI @KejaksaanRI Setorane ngeri2 Sis..",Positif
117,"""Hey @LKPP_RI ga mau bebenah ekatalog kalian nih? Belanja 18,7jt dapet leptop jelek kaya gini (acer p214), bela-belain TKDN malah jadi inefisien, mana ada leptop 18jt layarnya butek""",Negatif
118,"""@hrdbacot Sertifikasi Kompetensi PBJ Jenjang ahli Muda @LKPP_RI""",Netral
119,"""@Tita83079013 @LKPP_RI @DKIJakarta @BinaMargaDKI @KPK_RI @KejaksaanRI Hanya orang2 yang matanya seperti ikan peda yang melotot, tapi tidak mampu melihat keburukan yang terjadi di DKI selama 5 Tahun...Penggunaan Dana Baznas oleh Ganjar...https://t.co/MDYKbKOSA9""",Negatif
120,"""@hendrarprihadi @LKPP_RI jolali genuk, kaligawe &amp; woltermonginsidi...macet parah, banjir ra'ndang bar""",Netral
121,"""@Tita83079013 @LKPP_RI @DKIJakarta @BinaMargaDKI @KPK_RI @KejaksaanRI Koq cm pejabat DKI ya??🤔Kalau Ganjar pake dana baznas ..",Netral
122,"""@Tita83079013 @LKPP_RI @DKIJakarta @BinaMargaDKI @KPK_RI @KejaksaanRI FUCKIN SHIT FOR ARIFIN = &gt; CHIEF OF SATPOL PP ❗😂🤣😀GULUNG ...""",Netral
123,"""Pimpin Apel Perdana Diawal Tahun 2023, Wawali Pesan Lelang Fisik Harus Selesai Bulan Maret https://t.co/ltuAPmb9UM @LKPP_RI""",Positif
124,"""@hendrarprihadi @LKPP_RI sipppp semongko mas hen""",Positif
125,"""Pria yang akrab disapa Hendi itu pun melalui lembaga yang dipimpinnya berupaya untuk memperkuat ketangguhan ekonomi nasional, melalui peningkatan belanja produk dalam negeri oleh pemerintah.#LKPP#KawalPengadaan""",Positif
126,"""Kepala LKPP, Hendrar Prihadi tegaskan komitmen bersama jadi kunci hindarkan Indonesia dari dampak resesi global di 2023",Positif
127,"""@hendrarprihadi @LKPP_RI Aamiin yra""",Positif
128,"""Tahun 2023 telah tiba dengan tantangan resesi global yang diprediksi banyak pihak — semoga target2 yang ditetapkan @LKPP_RI di 2023 bisa diupayakan bersama, sehingga perekonomian Indonesia terus bertumbuh",Positif
129,"""Kepala LKPP RI yang merupakan kader PDI Perjuangan, Hendrar Prihadi tegaskan komitmen bersama jadi kunci hindarkan Indonesia dari dampak resesi global di 2023.#PDIPerjuangan#50tahunPDIP#bangunlahjiwadanbadannya#SolidBergerak https://t.co/X5EpEDYjNW""",Positif
130,"""Kepala LKPP RI yang merupakan kader PDI Perjuangan, Hendrar Prihadi tegaskan komitmen bersama jadi kunci hindarkan Indonesia dari dampak resesi global di 2023",Positif
131,"""@LKPP_RI https://t.co/ANuWqxg0Fm""",Netral
132,"""@LKPP_RI Konten poto IG &amp; Twitter itu berbeda min dalam showpictnya, jika disana tampak bagus disini jadinya lucu malah cenderung mbingungi 😄""",Netral
133,"""Paling lembut si kembang waruJangan sampai layu dimakan benaluMari kita sambut tahun baruSemoga kita bahagia selaluSelamat #TahunBaru2023 !Tahun Baru, semangat baru, energi baru, dan inovasi baru untuk Pengadaan Barang/Jasa Pemerintah yang Kredibel, sejahterakan bangsa",Positif
134,"""Semoga list lagu dari mimin bisa menemani akhir pekan Sobat Kredibel ya! Selamat Tahun Baru 2023, selamat berkumpul bersama keluarga tercinta! #LKPP #TahunBaru2023 https://t.co/4i7TyrEDqG""",Positif
135,"""List lagu mana nih yang paling relate sama Sobat Kredibel? Coba kasih tau mimin 😄#LKPP #TahunBaru2023 https://t.co/lTVt2Tshdm""",Netral
136,"""Haloo Sobat Kredibel.",Netral
137,"""Untuk seluruh Sobat Kredibel dimanapun berada, terima kasih atas dedikasinya! Sampai bertemu di tahun 2023 dengan semangat, energi, dan inovasi baru untuk Indonesia maju! #LKPP #2023#TahunBaru2023 https://t.co/BjeY6Asypb""",Positif
138,"""Halooo Sobat Kredibel..Akhirnya kita sampai juga di penghujung tahun 2022 ya! 🥳🎉Untuk Sobat Kredibel yang akan pergi liburan  menghilangkan penat, hati-hati di jalan.Untuk Sobat Kredibel  yang tetap bekerja di saat yang lain pergi liburan, sini mimin temenin 💪🏻🙂 https://t.co/AslKXKZwr1""",Positif
139,"""Kepala LKPP RI yang merupakan Kader PDI Perjuangan, Hendrar Prihadi pun secara khusus mencarinya saat berkunjung ke Kota Yogyakarta.""",Positif
140,"""@LKPP_RI K@@m""",Netral
141,"""@VastGG @dragonblogger @LKPP_RI  lol""",Netral
142,"""@LKPP_RI mohon info kontak person untuk ujian sertifikasi PBJ""",Netral
143,"""TOP Digital Awards merupakan kegiatan penghargaan tahunan di bidang TI, Telco dan Teknologi Digital di Indonesia",Netral
144,"""Selain itu, LKPP juga memperkenalkan teknologi block chain dengan melakukan prototyping smart contract dalam sistem e-katalog",Positif
145,"""""Sistem yang kita kembangkan tidak berdiri sendiri masing-masing, namun terkoneksi dengan lain-lainnya",Positif
146,"""Patria mengatakan prestasi yang diraih kali ini merupakan hasil kerja keras LKPP dalam membangun sistem pengadaan barang/jasa yang handal dan adaptif terhadap perkembangan jaman.""",Positif
147,"""Kedua penghargaan  TOP Digital Implementation 2022, Level Bintang 5 dan TOP CIO on Digital Implementation 2022 yang diterima oleh Direktur Pengembagan Sistem Pengadaan Secara Elektronik LKPP Patria Susantosa, Kamis (15/12) di Jakarta.""",Positif
148,"""Jakarta - Inovasi Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP) dalam menciptakan dan mengembangkan sistem pengadaan barang/jasa pemerintah (PBJP) berbuah dua penghargaan dari TOP Digital Award 2022",Positif
149,"""Kepala Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP) RI, Hendrar Prihadi menceritakan pengalamannya saat dulu menjadi kepala daerah sebagai Wali Kota Semarang",Netral
150,"""Seluruh infomasi publik yang dimiliki oleh LKPP dapat diakses melalui laman https://t.co/A8axfRMqbU.""",Netral
151,"""—Informasi (terutama dalam sektor PBJP) sudah tidak boleh ada lagi yang ditutup-tutupi dan harus dibuka sesuai dengan peraturan perundang-undangan yang ada,” kata Hendi.""",Positif
152,"""“Undang-undang sudah mengamanatkan bahwa apapun yang menyangkut informasi yang dimiliki oleh badan publik harus diketahui oleh seluruh masyarakat.—""",Positif
