Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"7723,pub.1144474598,10.1007/s00330-021-08466-9,34993574,,Evaluation of left atrial remodeling using cardiovascular magnetic resonance imaging in breast cancer patients treated with adjuvant trastuzumab,""ObjectivesWe evaluated left atrial (LA) remodeling using cardiac MRI (CMR) in patients with human epidermal growth factor receptor 2 (HER2)–positive breast cancer during and after trastuzumab therapy.MethodsIn this prospective 2-center longitudinal study, 41 women with HER2-positive breast cancer received adjuvant trastuzumab for 12 months, in addition to standard chemotherapy. Serial CMRs were performed at baseline, 6, 12, and 18 months after initiation of trastuzumab. LA volumes were measured by a blinded reader. Linear mixed model was used to evaluate longitudinal changes.ResultsOf 41 women (mean age 52 ± 11 [SD] years";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"7695,pub.1143383355,10.2196/31887,35451989,PMC9073600,Early Detection of Cardiotoxicity From Systemic and Radiation Therapy in Patients With Breast Cancer: Protocol for a Multi-Institutional Prospective Study,""BACKGROUND: The incidence of breast cancer is rising worldwide. Recent advances in systemic and local treatments have significantly improved survival rates of patients having early breast cancer. In the last decade, great attention has been paid to the prevention and early detection of cardiotoxicity induced by breast cancer treatments. Systemic therapy-related cardiac toxicities have been extensively studied. Radiotherapy, an essential component of breast cancer treatment, can also increase the risk of heart diseases. Consequently, it is important to balance the expected benefits of cancer treatment with cardiovascular risk and to identify strategies to prevent cardiotoxicity and improve long-term outcomes and quality of life for these patients.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OBJECTIVE: This CardioTox Breast study aims to investigate the use of cardiac imaging, based on cardiac magnetic resonance and echocardiography, and to identify associated circulating biomarkers to assess early tissue changes in chemo-induced and radiation-induced cardiotoxicity in the time window of 12 months after the end of radiotherapy in patients with breast cancer.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
METHODS: The CardioTox Breast trial is a multicenter observational prospective longitudinal study. We aim to enroll 150 women with stage I-III unilateral breast cancer, treated with breast conserving surgery, who planned to receive radiotherapy with or without systemic therapy. Baseline and follow-up data include cardiac measurements based on cardiac magnetic resonance imaging, echocardiography, and circulating biomarkers of cardiac toxicity.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RESULTS: This study details the protocol of the CardioTox Breast trial. Recruitment started in September 2020. The results of this study will not be published until data are mature for the final analysis of the primary study end point.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONCLUSIONS: The CardioTox Breast study is designed to investigate the effects of systemic and radiation therapy on myocardial function and structure, thus providing additional evidence on whether cardiac magnetic resonance is the optimal screening imaging for cardiotoxicity.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRIAL REGISTRATION: ClinicalTrials.gov NCT04790266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): DERR1-10.2196/31887."",,,JMIR Research Protocols,,Gunther Eysenbach,,2022-04-21,2022,2022-04-21,,11,4,e31887,All OA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7321,pub.1083681820,10.1186/1532-429x-15-s1-p276,,PMC3559904,CMR shows that anthracycline cardiotoxicity is common in women treated for early breast cancer and associated with undiagnosed hypertension;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"7227,pub.1158479078,10.1371/journal.pone.0286364,37252927,PMC10228774,Quantitative cardiovascular magnetic resonance findings and clinical risk factors predict cardiovascular outcomes in breast cancer patients,""BACKGROUND: Cardiac magnetic resonance (CMR) global longitudinal strain and circumferential strain abnormalities have been associated with left ventricular ejection fraction (LVEF) reduction and cardiotoxicity from oncologic therapy. However, few studies have evaluated the associations of strain and cardiovascular outcomes.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OBJECTIVES: To assess CMR circumferential and global longitudinal strain (GLS) correlations with cardiovascular outcomes including myocardial infarction, systolic dysfunction, diastolic dysfunction, arrhythmias and valvular disease in breast cancer patients treated with and without anthracyclines and/or trastuzumab therapy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
METHODS: Breast cancer patients with a CMR from 2013-2017 at Yale New Haven Hospital were included. Patient co-morbidities, medications, and cardiovascular outcomes were obtained from chart review. Biostatistical analyses, including Pearson correlations, competing risk regression model, and competing risk survival curves comparing the two groups were analyzed.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RESULTS: 116 breast cancer with CMRs were included in our analysis to assess differences between Anthracycline/Trastuzumab (AT) (62) treated versus non anthracycline/trastuzumab (NAT) (54) treated patients in terms of imaging characteristics and outcomes. More AT patients 17 (27.4%) developed systolic heart failure compared to the NAT group 6 (10.9%), p = 0.025. Statin use was associated with a significant reduction in future arrhythmias (HR 0.416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"CONCLUSIONS: In our study, CMR detected signs of subclinical cardiotoxicity such as strain abnormalities despite normal LV function and abnormal circumferential strain was associated with adverse cardiovascular outcomes such as valvular disease and systolic heart failure. Thus, CMR is an important tool during and after cancer treatment to identity and prognosticate cancer treatment-related cardiotoxicity."",,""LAB was supported by AHA 18CDA34110361 and NCATS award UL1TR0001983. JMK was supported by YCCI NIH KL2 TR001862. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."",PLOS ONE,,Raffaele Bugiardini,""Humans";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"7210,pub.1139919123,10.1093/jncics/pkab071,34476341,PMC8406435,Myocardial Function in Premenopausal Women Treated With Ovarian Function Suppression and an Aromatase Inhibitor,""Background: Premenopausal women with high-risk hormone receptor (HR)-positive breast cancer often receive ovarian function suppression (OFS) with aromatase inhibitor therapy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Methods: Twenty-one premenopausal women (14 with HR-positive breast cancer receiving OFS with an aromatase inhibitor and 7 comparator women with triple-negative breast cancer [TNBC] who had completed primary systemic therapy) underwent serial resting and adenosine cardiovascular magnetic resonance imaging measurements of LV myocardial T1 and LV volumes, mass, and ejection fraction. All statistical tests were 2-sided.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Results: After a median of 4.0 months (range = 3.1-5.7 months), the stress to resting ratio of LV myocardial T1 declined in women with HR-positive breast cancer (-1.3%, 95% confidence interval [CI] = -3.4% to 0.7%) relative to those with TNBC (3.2%, 95% CI = -1.2% to 7.6%, P = .02). After accounting for age, LV stroke volume, LV ejection fraction, diastolic blood pressure, and breast cancer subtype women with HR-positive breast cancer experienced a blunted T1 response after adenosine relative to women with TNBC (difference = -4.7%, 95% CI = -7.3% to -2.1%, P difference  = .002).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Conclusions: Over the brief interval examined, women with HR-positive breast cancer receiving OFS with an aromatase inhibitor experienced reductions in adenosine-associated changes in LV myocardial T1 relative to women who received nonhormonal therapy for TNBC. These findings suggest a possible adverse impact on LV myocardial microcirculatory function in premenopausal women with breast cancer receiving hormone deprivation therapy."",This work was supported by the National Cancer Institute’s Wake Forest Baptist Comprehensive Cancer Center P30CA012197 and the Williams Family Professorship in Breast Oncology.,,JNCI Cancer Spectrum,,,""Adenosine";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"7092,pub.1160216471,10.21037/tcr-22-2547,37434677,PMC10331454,""Efficacy, cardiotoxicity and factors affecting pathologic complete response of neoadjuvant chemotherapy with anthracycline-containing verses anthracycline-free regimens plus dual HER2 blockade for HER2-positive early-stage breast cancer: a retrospective study"",""Background: The aim of this study was to compare the efficacy, cardiotoxicity and factors affecting pathologic complete response (pCR) of neoadjuvant chemotherapy (NACT) regimen TCbHP (docetaxel/nab-paclitaxel, carboplatin, trastuzumab and pertuzumab) and AC-THP (doxorubicin, cyclophosphamide followed by docetaxel/nab-paclitaxel, trastuzumab and pertuzumab) for human epidermal growth factor receptor 2-positive (HER2+) early-stage breast cancer at a retrospective cohort.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Methods: This retrospective study included the patients with HER2+ early-stage breast cancer who received NACT with the regimen TCbHP or AC-THP and then underwent surgery from 2019 to 2022. pCR rate and breast-conserving rate were calculated to evaluate the efficacy of the regimens. Left ventricular ejection fraction (LVEF) from echocardiograms and abnormal electrocardiographs (ECGs) were collected to evaluate the cardiotoxicity of the two regimens. Association between the characteristics of the breast cancer lesions by magnetic resonance imaging (MRI) and the pCR rate were also explored.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Results: A total of 159 patients were enrolled, including 48 patients in the AC-THP group and 111 patients in the TCbHP group. The pCR rate of the TCbHP group 64.0% (71/111) was significantly higher than that of for the the AC-THP group 37.5% (18/48) (P=0.002). Estrogen receptor (ER) status (P=0.011, OR: 0.437, 95% CI: 0.231-0.829), progesterone receptor (PR) status (P=0.001, OR: 0.309, 95% CI: 0.157-0.608) and IHC HER2 status (P=0.003, OR: 7.167, 95% CI: 1.970-26.076) were significantly correlated with the pCR rate. LVEF decreased at 6 and 12 months after treatment in the AC-THP group (P=0.024 and 0.040), which only decreased after 6 months of treatment in the TCbHP group (P=0.048). Post-NACT MRI characteristics including mass features (P<0.001) and enhancement type (P<0.001) were significantly associated with pCR rate.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Conclusions: Early-stage HER2+ breast cancer treated with the TCbHP regimen has a higher pCR rate than the AC-THP group. The TCbHP regimen appears to have lower cardiotoxicity than the AC-THP regimen in terms of LVEF. Mass features and enhancement type at post-NACT MRI significantly associated with the pCR rate of breast cancer patients."",""Funding: This work was supported by grants from the National Natural Science Foundation of China (No. 81502665), Independent Scientific Research Project of Wuhan University (No. 2042021kf0135), Health and Family Planning Commission of Hubei Province (No. WJ2019Q053), Natural Science Foundation of Hubei Province (No. 2020CFB874), and Health and Family Planning Commission of Hubei Province (No. WJ2017M144)."",,Translational Cancer Research,,,,2023-06,2023,2023-06,2023-06,12,6,1490-1502,All OA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7048,pub.1041153299,10.1186/1532-429x-16-s1-p273,,PMC4043661,Regional myocardial edema detected by T2 mapping is a feature of cardiotoxicity in breast cancer patients receiving sequential therapy with anthracyclines and trastuzumab,,,,Journal of Cardiovascular Magnetic Resonance,,,,2014-01-16,2014,2014-01-16,2014-01,16,Suppl 1,p273,All OA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"6967,pub.1157187817,10.1001/jamacardio.2023.0494,37043251,PMC10099158,Comprehensive Cardiovascular Magnetic Resonance Tissue Characterization and Cardiotoxicity in Women With Breast Cancer,""Importance: There is a growing interest in understanding whether cardiovascular magnetic resonance (CMR) myocardial tissue characterization helps identify risk of cancer therapy-related cardiac dysfunction (CTRCD).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Objective: To describe changes in CMR tissue biomarkers during breast cancer therapy and their association with CTRCD.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Design, Setting, and Participants: This was a prospective, multicenter, cohort study of women with ERBB2 (formerly HER2)-positive breast cancer (stages I-III) who were scheduled to receive anthracycline and trastuzumab therapy with/without adjuvant radiotherapy and surgery. From November 7, 2013, to January 16, 2019, participants were recruited from 3 University of Toronto-affiliated hospitals. Data were analyzed from July 2021 to June 2022.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exposures: Sequential therapy with anthracyclines, trastuzumab, and radiation.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
