,tweetid,guid,author,title,description,pubdate,favorite_count,retweet_count,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_location,capres,Sentiment
171,1667072285935800321,https://twitter.com/golbachgoals/statuses/1667072285935800321,golbachgoals,"Simulasi 2
Prabowo Subianto 56,8%
Anies Baswedan 26,5%
TT/TJ 16,7%
#PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto","Simulasi 2
Prabowo Subianto 56,8%
Anies Baswedan 26,5%
TT/TJ 16,7%
#PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto",2023-06-09 03:33:00,0,0,reply,golbachgoals,909824927695589376,1667072283071107079,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
172,1667072283071107079,https://twitter.com/golbachgoals/statuses/1667072283071107079,golbachgoals,"Berikut ini simulasi head to headnya:
Simulasi 1
Ganjar Pranowo 51%
Anies Baswedan 34,5%
TT/TJ 14,4%
#PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto","Berikut ini simulasi head to headnya:
Simulasi 1
Ganjar Pranowo 51%
Anies Baswedan 34,5%
TT/TJ 14,4%
#PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto",2023-06-09 03:32:59,0,0,reply,golbachgoals,909824927695589376,1667072279677915138,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
173,1667072279677915138,https://twitter.com/golbachgoals/statuses/1667072279677915138,golbachgoals,"Hasilnya, Ganjar Pranowo unggul atas Anies Baswedan. Namun Ganjar kalah dari Prabowo Subianto. #PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto","Hasilnya, Ganjar Pranowo unggul atas Anies Baswedan. Namun Ganjar kalah dari Prabowo Subianto. #PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto",2023-06-09 03:32:58,0,0,reply,golbachgoals,909824927695589376,1667072276125343749,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
174,1667072256001085441,https://twitter.com/golbachgoals/statuses/1667072256001085441,golbachgoals,Prabowo Subianto unggul telak atas dua capres lainnya yakni Ganjar Pranowo dan Anies Baswedan. #PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto,Prabowo Subianto unggul telak atas dua capres lainnya yakni Ganjar Pranowo dan Anies Baswedan. #PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto,2023-06-09 03:32:53,0,0,reply,golbachgoals,909824927695589376,1667072252893081600,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
178,1667072089877254145,https://twitter.com/NasutionTapsel/statuses/1667072089877254145,NasutionTapsel,"RT @abwnews_: Kiai Sefudin, Tokoh NU Banyumas Ajak Warga Dukung Anies Baswedan

https://t.co/Qt4B8nRp4Y","Kiai Sefudin, Tokoh NU Banyumas Ajak Warga Dukung Anies Baswedan

https://t.co/Qt4B8nRp4Y",2023-06-09 03:32:13,0,350,retweet,,0,0,abwnews_,1185767973111263233,1666599781140144129,1470316392658268162,https://pbs.twimg.com/profile_images/1658395666975174656/ETGadGmv_normal.jpg,7485,306,346,2021-12-13 03:58:30,Kota Medan,Anies Baswedan,neutral
179,1667072086916087808,https://twitter.com/syarifptk/statuses/1667072086916087808,syarifptk,"RT @geloraco: Anies Baswedan: Nasdem Ambil Rute Sulit Demi Hadirkan Perubahan
https://t.co/uWzOb6rBAb","Anies Baswedan: Nasdem Ambil Rute Sulit Demi Hadirkan Perubahan
https://t.co/uWzOb6rBAb",2023-06-09 03:32:12,0,31,retweet,,0,0,geloraco,3319260420,1667024088521637890,1870397982,https://pbs.twimg.com/profile_images/1651854113473449984/XJv-LeHF_normal.jpg,129643,2517,2201,2013-09-16 02:01:40,Jakarta Barat,Anies Baswedan,neutral
189,1667071785035235333,https://twitter.com/kompascom/statuses/1667071785035235333,kompascom,"Partai Nasdem dan Partai Demokrat memanas. 

Dua partai penggagas Koalisi Perubahan untuk Persatuan itu tak sejalan soal waktu deklarasi bakal calon wakil presiden (cawapres) pendamping bakal calon presiden (capres) Anies Baswedan. &lt; #Nasional #Anies

https://t.co/kJQaJ4gqvW","Partai Nasdem dan Partai Demokrat memanas. 

Dua partai penggagas Koalisi Perubahan untuk Persatuan itu tak sejalan soal waktu deklarasi bakal calon wakil presiden (cawapres) pendamping bakal calon presiden (capres) Anies Baswedan. &lt; #Nasional #Anies

https://t.co/kJQaJ4gqvW",2023-06-09 03:31:00,3,0,original,,0,0,,0,0,23343960,https://pbs.twimg.com/profile_images/1577144849437888514/d9x3nKN8_normal.jpg,2334330,31,8527457,2009-03-08 15:32:04,Jakarta Barat,Anies Baswedan,neutral
194,1667071759902994442,https://twitter.com/QodryAmir/statuses/1667071759902994442,QodryAmir,"RT @Yurissa_Samosir: Anies Rasyid Baswedan S.E..,M.P.P..,Ph.D....Pendidikan dan gelarnya jelas banget, serta Pak Anies terbukti mampu merub…","Anies Rasyid Baswedan S.E..,M.P.P..,Ph.D....Pendidikan dan gelarnya jelas banget, serta Pak Anies terbukti mampu merubah jakarta menjadi lebih baik 🥰 https://t.co/icxWMpyD0H",2023-06-09 03:30:54,0,248,retweet,,0,0,Yurissa_Samosir,1456283686312103939,1666819345413185537,1331484760552603649,https://pbs.twimg.com/profile_images/1563002047456169984/2m6rcfVb_normal.jpg,8850,98,370,2020-11-25 01:28:28,Jakarta Selatan,Anies Baswedan,positive
203,1667071688826290176,https://twitter.com/golbachgoals/statuses/1667071688826290176,golbachgoals,calon presiden dan Ketua Umum Partai Gerindra Prabowo Subianto unggul telak atas Gubernur Jawa Tengah Ganjar Pranowo maupun mantan Gubernur DKI Jakarta Anies Baswedan.  #PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto,calon presiden dan Ketua Umum Partai Gerindra Prabowo Subianto unggul telak atas Gubernur Jawa Tengah Ganjar Pranowo maupun mantan Gubernur DKI Jakarta Anies Baswedan.  #PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto,2023-06-09 03:30:37,0,0,reply,golbachgoals,909824927695589376,1667071686129389568,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
214,1667071516650135552,https://twitter.com/M_tamy83/statuses/1667071516650135552,M_tamy83,"@SantorinisSun Kubu PS dan GP adem ayem. 😁
Kubu yg satu ini memang beda tiap hari ada aja yg diributin. Apa jangan2 ini strategi untuk menaikan popularitas Anies Baswedan biar di beritakan di semua platform media2 online 🤣😆","@SantorinisSun Kubu PS dan GP adem ayem. 😁
Kubu yg satu ini memang beda tiap hari ada aja yg diributin. Apa jangan2 ini strategi untuk menaikan popularitas Anies Baswedan biar di beritakan di semua platform media2 online 🤣😆",2023-06-09 03:29:56,1,0,reply,SantorinisSun,980685208969031680,1667070302139064320,,0,0,1603553072415854592,https://pbs.twimg.com/profile_images/1660997988586770432/oEZTwjZv_normal.jpg,14473,749,568,2022-12-15 19:50:39,Bandar Lampung,Anies Baswedan,negative
217,1667071351465873409,https://twitter.com/bulanrudrigo/statuses/1667071351465873409,bulanrudrigo,"RT @TeddGus: PDIP pun berpendapat sama seperti Partai Garuda. Karena sama sekali tidak mempunyai prestasi, makanya membuat cerita dijegal.…","PDIP pun berpendapat sama seperti Partai Garuda. Karena sama sekali tidak mempunyai prestasi, makanya membuat cerita dijegal. Ini penyakit..

PDIP Bantah Jegal Anies Baswedan, Hasto: Pemimpin yg Tidak Berprestasi Menciptakan Ganjalan Seolah Seperti Ujian https://t.co/3vGo8zv8E8",2023-06-09 03:29:17,0,65,retweet,,0,0,TeddGus,1447610310529982467,1666975403599331328,4136498300,https://pbs.twimg.com/profile_images/1649462668858892290/3WjQRy2O_normal.jpg,12111,4999,4523,2015-11-05 10:54:11,Jakarta Barat,Anies Baswedan,negative
220,1667071211598393344,https://twitter.com/CHaendrajit/statuses/1667071211598393344,CHaendrajit,"RT @Yurissa_Samosir: Anies Rasyid Baswedan S.E..,M.P.P..,Ph.D....Pendidikan dan gelarnya jelas banget, serta Pak Anies terbukti mampu merub…","Anies Rasyid Baswedan S.E..,M.P.P..,Ph.D....Pendidikan dan gelarnya jelas banget, serta Pak Anies terbukti mampu merubah jakarta menjadi lebih baik 🥰 https://t.co/icxWMpyD0H",2023-06-09 03:28:44,0,248,retweet,,0,0,Yurissa_Samosir,1456283686312103939,1666819345413185537,1379863429,https://pbs.twimg.com/profile_images/1531893514945982465/cZ3q4K9T_normal.jpg,4531,711,190,2013-04-25 12:31:51,Kota Bogor,Anies Baswedan,positive
221,1667071120057720832,https://twitter.com/sartonomogol/statuses/1667071120057720832,sartonomogol,"RT @BosPurwa: Ikutan ah..
Anies  Baswedan retweet 🔃
King Purwa Like 👌😅 https://t.co/ChSr4InDHf","Ikutan ah..
Anies  Baswedan retweet 🔃
King Purwa Like 👌😅 https://t.co/ChSr4InDHf",2023-06-09 03:28:22,0,1577,retweet,,0,0,BosPurwa,1068371293290946561,1666428027444826114,1366934005,https://pbs.twimg.com/profile_images/378800000620730790/9c7ffb5a6ac0f5b58895d741be463e01_normal.jpeg,819,194,21,2013-04-20 08:30:12,Kota Bogor,Anies Baswedan,neutral
224,1667071016999485441,https://twitter.com/Masartono/statuses/1667071016999485441,Masartono,"RT @tvOneNews: Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP karena 4 Kali Bertemu Anies Baswedan https://t.co/DupFpBudnm","Denny Indrayana Sebut Suharso Monoarfa ""Dipecat"" PPP karena 4 Kali Bertemu Anies Baswedan https://t.co/DupFpBudnm",2023-06-09 03:27:57,0,215,retweet,,0,0,tvOneNews,55507370,1666981954657587200,1293478285,https://pbs.twimg.com/profile_images/1435117890705891329/VLtzMLki_normal.jpg,89508,199,558,2013-03-23 23:43:33,Kota Bekasi,Anies Baswedan,neutral
249,1667070152406601728,https://twitter.com/golbachgoals/statuses/1667070152406601728,golbachgoals,"Sementara itu, tingkat elektoral Prabowo berselisih signifikan jika pesaingnya dalam kontestasi perebutan kursi RI-1 adalah mantan Gubernur DKI Jakarta, Anies Baswedan.   #PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto","Sementara itu, tingkat elektoral Prabowo berselisih signifikan jika pesaingnya dalam kontestasi perebutan kursi RI-1 adalah mantan Gubernur DKI Jakarta, Anies Baswedan.   #PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto",2023-06-09 03:24:31,0,0,reply,golbachgoals,909824927695589376,1667070149487386627,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
250,1667070131053408259,https://twitter.com/golbachgoals/statuses/1667070131053408259,golbachgoals,"Dalam simulasi tersebut, elektabilitas Prabowo Subianto unggul jika bersaing dengan Anies Baswedan.  #PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto","Dalam simulasi tersebut, elektabilitas Prabowo Subianto unggul jika bersaing dengan Anies Baswedan.  #PrabowoUntukIndonesia #NerusKePakdhe Prabowo Subianto",2023-06-09 03:24:26,0,0,reply,golbachgoals,909824927695589376,1667070128289382400,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
272,1667069647798292481,https://twitter.com/golbachgoals/statuses/1667069647798292481,golbachgoals,"""Sedangkan Anies Baswedan bukan kader Partai, sehingga ia sering kebingungan mengikuti kepentingan politik dari tiga partai pengusungnya,"" papar Hariqo. #PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto","""Sedangkan Anies Baswedan bukan kader Partai, sehingga ia sering kebingungan mengikuti kepentingan politik dari tiga partai pengusungnya,"" papar Hariqo. #PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto",2023-06-09 03:22:31,0,0,reply,golbachgoals,909824927695589376,1667069644883267584,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
273,1667069631981563905,https://twitter.com/golbachgoals/statuses/1667069631981563905,golbachgoals,"Terakhir, kata Hariqo, Prabowo lebih merdeka dibanding Ganjar dan Anies Baswedan. Masyarakat pun dinilainya lebih menghayati perkataan Prabowo ketimbang Ganjar dan Anies. #PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto","Terakhir, kata Hariqo, Prabowo lebih merdeka dibanding Ganjar dan Anies Baswedan. Masyarakat pun dinilainya lebih menghayati perkataan Prabowo ketimbang Ganjar dan Anies. #PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto",2023-06-09 03:22:27,0,0,reply,golbachgoals,909824927695589376,1667069628940709888,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
274,1667069610351538177,https://twitter.com/golbachgoals/statuses/1667069610351538177,golbachgoals,"Direktur Eksekutif Komunikonten Hariqo Wibawa Satria menyampaikan, ada tiga alasan kenapa bakal calon presiden Prabowo Subianto lebih unggul dari bakal capres Ganjar Pranowo dan Anies Baswedan, merujuk beberapa hasil survei terakhir. #PrabowoUntukIndonesia #NeruskePakdhe","Direktur Eksekutif Komunikonten Hariqo Wibawa Satria menyampaikan, ada tiga alasan kenapa bakal calon presiden Prabowo Subianto lebih unggul dari bakal capres Ganjar Pranowo dan Anies Baswedan, merujuk beberapa hasil survei terakhir. #PrabowoUntukIndonesia #NeruskePakdhe",2023-06-09 03:22:22,0,0,reply,golbachgoals,909824927695589376,1667069606723485697,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
275,1667069606723485697,https://twitter.com/golbachgoals/statuses/1667069606723485697,golbachgoals,"3 Alasan Survei Prabowo Unggul dari Ganjar dan Anies Baswedan versi Komunikonten
#PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto
https://t.co/AuzAsknsjG","3 Alasan Survei Prabowo Unggul dari Ganjar dan Anies Baswedan versi Komunikonten
#PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto
https://t.co/AuzAsknsjG",2023-06-09 03:22:21,0,0,original,,0,0,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
291,1667069202526801922,https://twitter.com/tribunkaltim/statuses/1667069202526801922,tribunkaltim,"Semakin memanas! Bila duet Anies - AHY tak terwujud, Partai Demokrat diyakini tinggalkan koalisi perubahan
https://t.co/YTEPS5mdjq
#demokrat #AHY #AniesBaswedan #Pilpres2024 #capres2024 #beritaterkini #beritaterbaru","Semakin memanas! Bila duet Anies - AHY tak terwujud, Partai Demokrat diyakini tinggalkan koalisi perubahan
https://t.co/YTEPS5mdjq
#demokrat #AHY #AniesBaswedan #Pilpres2024 #capres2024 #beritaterkini #beritaterbaru",2023-06-09 03:20:45,0,0,original,,0,0,,0,0,103551225,https://pbs.twimg.com/profile_images/1564054578945036289/J05FSLWo_normal.png,325762,3537,32556,2010-01-10 06:53:59,Balikpapan,Anies Baswedan,neutral
297,1667068954697957378,https://twitter.com/golbachgoals/statuses/1667068954697957378,golbachgoals,"Simulasi head to head:  Ganjar Pranowo: 51% Anies Baswedan: 34,5%
Ganjar Pranowo: 39% Prabowo Subianto: 50,5% Prabowo Subianto: 56,8% Anies Baswedan: 26,5% Sebagai informasi, survei ini dilakukan pada 26-30 Mei 2023. #PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto","Simulasi head to head:  Ganjar Pranowo: 51% Anies Baswedan: 34,5%
Ganjar Pranowo: 39% Prabowo Subianto: 50,5% Prabowo Subianto: 56,8% Anies Baswedan: 26,5% Sebagai informasi, survei ini dilakukan pada 26-30 Mei 2023. #PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto",2023-06-09 03:19:46,0,0,reply,golbachgoals,909824927695589376,1667068952193961988,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
298,1667068947638923264,https://twitter.com/golbachgoals/statuses/1667068947638923264,golbachgoals,Ketua Umum Partai Gerindra sekaligus Menteri Pertahanan Prabowo Subianto unggul sebagai Capres 2024 jika head to head dengan Ganjar Pranowo dan Anies Baswedan. Hasil tersebut berdasarkan survei Indikator Politik Indonesia.  #PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto,Ketua Umum Partai Gerindra sekaligus Menteri Pertahanan Prabowo Subianto unggul sebagai Capres 2024 jika head to head dengan Ganjar Pranowo dan Anies Baswedan. Hasil tersebut berdasarkan survei Indikator Politik Indonesia.  #PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto,2023-06-09 03:19:44,0,0,reply,golbachgoals,909824927695589376,1667068945420144640,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
318,1667068578645032960,https://twitter.com/CHaendrajit/statuses/1667068578645032960,CHaendrajit,"RT @Dhyndha_: Kata Pak Hasto, Pak Anies tidak punya Prestasi ?
Itukan kata bapak dan para pendukung Capres lain, saya sebagai pendukung Pak…","Kata Pak Hasto, Pak Anies tidak punya Prestasi ?
Itukan kata bapak dan para pendukung Capres lain, saya sebagai pendukung Pak Anies Baswedan melihat dengan jelas kerja nyata beliau yang selama 5 tahun kepemimpinannya membawa perubahan yang lebih baik di DKI Jakarta  ❤😇 https://t.co/EWokebrG81",2023-06-09 03:18:16,0,32,retweet,,0,0,Dhyndha_,1406938814593916928,1666990805096226816,1379863429,https://pbs.twimg.com/profile_images/1531893514945982465/cZ3q4K9T_normal.jpg,4531,711,190,2013-04-25 12:31:51,Kota Bogor,Anies Baswedan,positive
330,1667068500844892160,https://twitter.com/golbachgoals/statuses/1667068500844892160,golbachgoals,apabila Ganjar Pranowo dan Anies Baswedan bila pemilu dilakukan saat survei berlangsung. #PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto,apabila Ganjar Pranowo dan Anies Baswedan bila pemilu dilakukan saat survei berlangsung. #PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto,2023-06-09 03:17:57,0,0,reply,golbachgoals,909824927695589376,1667068497955016705,,0,0,909824927695589376,https://pbs.twimg.com/profile_images/1653689785687629824/Lo765XHS_normal.jpg,11354,81,62,2017-09-18 13:02:21,Jakarta Selatan,Anies Baswedan,neutral
